"family","language","dialect","source","primarySource","poa1","poa2","vot.category","vot","voiceContrast","notes"
"Indo-European","Afrikaans",NA,"CoetzeePC",NA,NA,"coronal","lead",-113.77,"yes","NA"
"Indo-European","Afrikaans",NA,"CoetzeePC",NA,NA,"dorsal","lead",-103.25,"yes","NA"
"Indo-European","Afrikaans",NA,"CoetzeePC",NA,NA,"coronal","lead",12.69,"yes","NA"
"Indo-European","Afrikaans",NA,"CoetzeePC",NA,NA,"dorsal","lead",11.58,"yes","NA"
"Indo-European","Afrikaans",NA,"CoetzeePC",NA,NA,"coronal","short.lag",15.91,"yes","NA"
"Indo-European","Afrikaans",NA,"CoetzeePC",NA,NA,"dorsal","short.lag",13.27,"yes","NA"
"Eskimo-Aleut","Aleut (Eastern)",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","long.lag",59,"no","NA"
"Eskimo-Aleut","Aleut (Eastern)",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","long.lag",75,"no","NA"
"Eskimo-Aleut","Aleut (Eastern)",NA,"ChoLadefoged1999","ChoLadefoged1999","uvular","dorsal","long.lag",78,"no","NA"
"Eskimo-Aleut","Aleut (Western)",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","long.lag",76,"no","NA"
"Eskimo-Aleut","Aleut (Western)",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","long.lag",95,"no","NA"
"Eskimo-Aleut","Aleut (Western)",NA,"ChoLadefoged1999","ChoLadefoged1999","uvular","dorsal","long.lag",92,"no","NA"
"Afro-Asiatic","Amharic",NA,"Mekkonen2013",NA,NA,"coronal","short.lag",42.1,"yes","NA"
"Afro-Asiatic","Amharic",NA,"Mekkonen2013",NA,NA,"dorsal","short.lag",59.6,"yes","NA"
"Afro-Asiatic","Amharic",NA,"SeidEtAl","SeidEtAl",NA,"labial","short.lag",19,"yes","NA"
"Afro-Asiatic","Amharic",NA,"SeidEtAl","SeidEtAl",NA,"coronal","short.lag",25,"yes","NA"
"Afro-Asiatic","Amharic",NA,"SeidEtAl","SeidEtAl",NA,"dorsal","short.lag",28,"yes","NA"
"Na-Dene","Apache (Western)",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","long.lag",58,"yes","NA"
"Na-Dene","Apache (Western)",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","long.lag",80,"yes","NA"
"Na-Dene","Apache (Western)",NA,"ChoLadefoged1999","ChoLadefoged1999","bilabial","labial","short.lag",13,"yes","NA"
"Na-Dene","Apache (Western)",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","short.lag",15,"yes","NA"
"Na-Dene","Apache (Western)",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","short.lag",31,"yes","NA"
"Afro-Asiatic","Arabic",NA,"Alshareef","Alshareef",NA,"labial","lead",-64,"yes","NA"
"Afro-Asiatic","Arabic",NA,"Alshareef","Alshareef",NA,"coronal","lead",-71,"yes","NA"
"Afro-Asiatic","Arabic",NA,"Alshareef","Alshareef",NA,"dorsal","lead",-57,"yes","NA"
"Afro-Asiatic","Arabic",NA,"Alshareef","Alshareef",NA,"coronal","long.lag",33.5,"yes","NA"
"Afro-Asiatic","Arabic",NA,"Alshareef","Alshareef",NA,"dorsal","long.lag",42.7,"yes","NA"
"Tupian","Arara",NA,"Alves2010","Alves2010",NA,"labial","short.lag",15,"yes","non-final position"
"Tupian","Arara",NA,"Alves2010","Alves2010",NA,"coronal","short.lag",18,"yes","non-final position"
"Tupian","Arara",NA,"Alves2010","Alves2010",NA,"dorsal","short.lag",37,"yes","non-final position"
